date,country,content_type,platform,actor,minutes,revenue
2024-01,France,Movies,Amazon Prime,Marion Cotillard,57000,96000
2024-01,France,Series,Netflix,Lupin Cast,72000,135000
2024-01,France,Series,Canal+,Engrenages Cast,68000,128000
2024-01,France,Anime,Crunchyroll,One Piece VA,26000,42000
2024-01,France,Anime,Netflix,Demon Slayer VA,24000,39000
2024-01,France,Music,Spotify,David Guetta,69000,118000
2024-01,France,Series,Amazon Prime,The Bureau Cast,65000,121000

2024-01,Germany,Music,Spotify,Rammstein,68000,118000
2024-01,Germany,Music,Apple Music,Capital Bra,64000,110000
2024-01,Germany,Movies,Netflix,Diane Kruger,53000,98000
2024-01,Germany,Movies,Amazon Prime,Daniel Brühl,56000,102000
2024-01,Germany,Series,Netflix,Dark Cast,46000,87000
2024-01,Germany,Series,Amazon Prime,Babylon Berlin Cast,52000,95000
2024-01,Germany,Anime,Crunchyroll,Naruto VA,21000,36000
2024-01,Germany,Anime,Netflix,Attack Titan VA,23000,39000
2024-01,Germany,Music,Spotify,Robin Schulz,60000,108000
2024-01,Germany,Series,Netflix,How to Sell Drugs Cast,48000,90000

2024-01,Spain,Music,Spotify,Rosalía,61000,107000
2024-01,Spain,Music,YouTube,C. Tangana,59000,99000
2024-01,Spain,Movies,Netflix,Penélope Cruz,55000,94000
2024-01,Spain,Movies,Amazon Prime,Antonio Banderas,58000,98000
2024-01,Spain,Series,Netflix,Money Heist Cast,58000,103000
2024-01,Spain,Series,Movistar+,Élite Cast,54000,96000
2024-01,Spain,Anime,Crunchyroll,Demon Slayer VA,20000,34000
2024-01,Spain,Anime,Netflix,One Piece VA,22000,37000
2024-01,Spain,Music,Spotify,Aitana,63000,109000
2024-01,Spain,Series,Amazon Prime,The Head Cast,51000,93000

2024-01,Brazil,Music,Spotify,Anitta,78000,134000
2024-01,Brazil,Music,YouTube,Pabllo Vittar,74000,120000
2024-01,Brazil,Movies,Netflix,Wagner Moura,69000,118000
2024-01,Brazil,Movies,Amazon Prime,Alice Braga,65000,110000
2024-01,Brazil,Series,Netflix,Narcos Cast,73000,128000
2024-01,Brazil,Series,Globoplay,3% Cast,67000,115000
2024-01,Brazil,Anime,Crunchyroll,Naruto VA,24000,38000
2024-01,Brazil,Anime,Netflix,Attack Titan VA,26000,41000
2024-01,Brazil,Music,Spotify,Ludmilla,71000,126000
2024-01,Brazil,Series,Amazon Prime,DOM Cast,62000,108000

2024-01,Mexico,Music,Spotify,Karol G,71000,121000
2024-01,Mexico,Music,YouTube,Peso Pluma,68000,113000
2024-01,Mexico,Movies,Netflix,Gael García Bernal,66000,115000
2024-01,Mexico,Movies,Amazon Prime,Diego Luna,63000,108000
2024-01,Mexico,Series,Netflix,Narcos Mexico Cast,70000,122000
2024-01,Mexico,Series,Televisa,La Casa de las Flores Cast,65000,114000
2024-01,Mexico,Anime,Crunchyroll,Dragon Ball VA,28000,45000
2024-01,Mexico,Anime,Netflix,One Punch Man VA,26000,42000
2024-01,Mexico,Music,Spotify,Natalia Lafourcade,69000,119000
2024-01,Mexico,Series,Amazon Prime,Pan y Circo Cast,61000,105000
